Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1789.0,Guangzhou R&F,Real Estate,China,2665.0,424.7,9612.0,4204.0,
2012,,Guangzhou R&F,Real Estate,China,4349.0,769.0,12990.0,3998.0,1406.0
2013,,Guangzhou R&F,Real Estate,China,4822.0,872.0,15812.0,4817.0,1197.0
2014,,Guangzhou R&F,Real Estate,China,5916.0,1246.4,23183.0,4570.0,1028.0
2015,,Guangzhou R&F,Real Estate,China,5634.0,1063.7,27698.0,3379.0,1049.0
2016,,Guangzhou R&F,Real Estate,China,7018.0,996.9,28294.0,4562.0,964.0
2017,,Guangzhou R&F,Real Estate,China,8069.0,1011.6,32580.0,5391.0,933.0
2018,,Guangzhou R&F,Real Estate,China,8827.0,3254.9,45778.0,7775.0,725.0
2019,,Guangzhou R&F,Construction,China,11586.0,1264.0,53337.0,6794.0,761.0
2020,,Guangzhou R&F,Construction,China,13095.0,1396.2,61347.0,4410.0,720.0
2021,,Guangzhou R&F,Construction,China,12548.0,1308.5,67614.0,4829.0,698
2022,1251,Guangzhou R&F,Construction,China,12407.0,-1381.9,63683.0,1401.0,
